Лист 1-Tаблица 4
Пропуск;Лок ;Глоб ;Деп ;Из 
1;64;;;
2;64;;;
3;62;;;
4;60;;;
5;62;;;
6;56;8;;
7;48;5;;
8;43;6;1;
9;57;7;;
10;43;17;;
11;24;36;4;
12;65;;;
13;41;20;2;
14;62;;;
15;53;9;;
16;62;3;;
17;19;;44;
18;38;26;;
19;57;7;1;
20;64;1;;
21;42;20;;
22;53;5;;
23;19;44;;
24;63;;;
25;59;;;
26;43;17;;
27;43;;13;
28;50;8;;
29;50;11;;
30;64;;;
31;64;;;
32;63;;;
33;57;5;;
34;53;11;;
35;8;56;;
36;62;1;;
37;44;16;;
38;32;25;;
39;56;;;
40;47;;16;
41;61;;;
42;22;39;;
43;21;36;;
44;62;;;
