5
Слово;Тип;Тип;Тип;Вывод
глазах;local;dep;local;Local
голове;local;local;local;Local
испариной;local;dep;local;Local
потом;local;dep;local;Local
пота;local;dep;local;Local
испаринойп;local;dep;local;Local
пота;local;dep;local;Local
взять;local;local;local;Local
принять;local;local;local;Local
забрать;local;local;local;Local
вырвать;local;global;local;Local
украсть;local;local;local;Local
выхватить;local;global;local;Local
изъять;local;local;local;Local
вызволить;local;local;local;Local
достать;local;local;local;Local
извлечь;local;local;local;Local
выдрать;local;local;local;Local
жизни;local;dep;local;Local
голове;local;local;local;Local
свете;local;local;local;Local
любит;local;dep;local;Local
любил;local;dep;local;Local
ненавидел;local;local;local;Local
голове;local;local;local;Local
мыслях;local;local;local;Local
глазах;local;local;local;Local
памяти;local;dep;local;Local
сознании;local;local;local;Local
мозгу;local;local;local;Local
момент;local;local;local;Local
мозге;local;local;local;Local
миг;local;local;local;Local
море;local;local;local;Local
агония;local;local;local;Local
случае;local;local;local;Local
разуме;local;local;local;Local
мяслях;local;local;local;Local
кино;local;local;local;Local
жизнь;local;dep;local;Local
рыба;local;local;local;Local
слово;local;dep;global;
дыхание;local;local;global;Local
движение;local;local;global;Local
сердцебиение;local;local;local;Local
себя;local;local;local;Local
фонтана;local;global;local;Local
моря;local;local;local;Local
реки;local;local;local;Local
него;local;local;local;Local
нерона;local;global;global;Global
друзей;local;local;local;Local
дома;local;local;global;Local
дороги;local;local;global;Local
жизель;local;global;local;Local
тебя;local;local;local;Local
соседей;local;local;global;Local
крыльца;local;local;global;Local
пруда;local;local;global;Local
виниция;local;global;global;Global
аврама;dep;global;global;Local
них;local;local;local;Local
окна;local;local;local;Local
озера;local;local;local;Local
брата;local;dep;local;Local
другого;local;local;local;Local
гостях;local;local;local;Local
церкви;local;local;local;Local
желанной;global;global;local;Global
красивой;local;local;local;Local
милой;local;local;local;Local
очаровательной;local;local;local;Local
любимой;global;local;local;Local
ласковой;local;local;local;Local
изысканной;local;local;local;Local
женственной;local;local;local;Local
чудесной;local;local;local;Local
страстной;local;local;local;Local
доброй;local;local;local;Local
умной;local;local;local;Local
возвышенной;local;local;local;Local
светлой;local;local;local;Local
чистой;local;local;local;Local
блаженной;local;local;local;Local
любящей;local;local;local;Local
изящной;local;local;local;Local
совершенной;local;local;local;Local
привлекательной;local;local;local;Local
легкой;local;local;local;Local
богов;local;global;global;Global
бессмертных;local;local;global;Local
живых;local;local;local;Local
небожителей;local;global;global;Global
людей;local;local;local;Local
милее;local;local;local;Local
избранных;local;local;global;Local
безсмертных;local;local;global;Local
ангелов;local;local;global;Local
грешников;local;local;local;Local
мертвых;local;local;local;Local
вокруг;local;local;local;Local
умерших;local;local;local;Local
бессметных;local;local;local;Local
благородных;local;local;local;Local
бесмертных;local;local;global;Local
