Пропуск,Слово,Семантическое поле ,Количество,агрегация ,
1,повернулся,глаголы изменения качества состояния объекта,11,посчитать попадание в поле,отдать Ире данные
1,встал,глаголы изменения качества состояния объекта,9,ворднет,
1,развернулся,глаголы изменения качества состояния объекта,8,,
1,остановился,глаголы изменения качества состояния объекта,2,,
1,осмотрелся,глаголы созерцания,2,,
1,кекнул ,глаголы выражения эмотивного состояния ,1,,
1,улыбнулся ,глаголы изменения качества состояния объекта,1,,
1,поснулся,,1,,
1,вздохнул,глаголы физиологической деятельности,1,,
1,обернулся,глаголы изменения качества состояния объекта,1,,
1,выпрямился,глаголы изменения качества состояния объекта,1,,
1,повернул,глаголы изменения качества состояния объекта,1,,
1,нахмурился ,глаголы изменения качества состояния объекта,1,,
1,выпил,,1,,
1,подумал,глаголы мыслительной деятельности,1,,
1,посмотрел,глаголы созерцания,1,,
1,повенуося,глаголы изменения качества состояния объекта,1,,
1,деньги,деньги,1,,
1,понтий,человек,1,,
1,оглянулся,глаголы созерцания,1,,
2,ступеням,место в пространстве,8,,
2,реке,место в пространстве,4,,
2,дворцу,место в пространстве,4,,
2,дому,место в пространстве,3,,
2,городу,место в пространстве,2,,
2,площади,место в пространстве,2,,
2,охране,наименование групп лиц,1,,
2,арке,место в пространстве,1,,
2,плошади,место в пространстве,1,,
2,суду,место в пространстве,1,,
2,крепости,место в пространстве,1,,
2,саду,место в пространстве,1,,
2,берегу,место в пространстве,1,,
2,помосту,место в пространстве,1,,
2,огороду,место в пространстве,1,,
2,толпе,наименование групп лиц,1,,
2,своему дворцу,место в пространстве,1,,
2,дороге,место в пространстве,1,,
2,улице,место в пространстве,1,,
2,собору,место в пространстве,1,,
2,побережью,место в пространстве,1,,
2,церкви ,место в пространстве,1,,
2,банкиру,человек,1,,
2, назад,место в пространстве,1,,
2,ступнням ,место в пространстве,1,,
2,статуе,место в пространстве,1,,
2, лестнице,место в пространстве,1,,
2,водоему,место в пространстве,1,,
3,шашек,форма ,5,,
3,досок,материал,11,,
3,камней,материал,7,,
3,листьев,растения,4,,
3,плиток ,материал,3,,
3, плит,материал,2,,
3,цветов,растения,2,,
3,полос,форма ,2,,
3,кусков,форма ,1,,
3,участков,форма ,1,,
3,балок,материал,1,,
3,пятен,форма ,1,,
3,трав,растения,1,,
3,ламп,"устройств, предмет мебели?",1,,
3,листьев да,растения,1,,
3,островков,место в пространстве,1,,
4,спиною ,часть тела,4,,
4,спиной ,часть тела,34,,
4,плечами,часть тела,5,,
4,головой,часть тела,1,,
4,ним,человек,1,,
4,шуба,одежда,1,,
4,это,-,1,,
5,финики,объекты маленького размера,4,,
5,знал,глаголы интеллектуальной деятельности,6,,
5,понимая ,глаголы интеллектуальной деятельности,3,,
5,цветы,объекты маленького размера,3,,
5,звеня,глаголы звучания,2,,
5,видел,глаголы созерцания,1,,
5,амулеты,объекты маленького размера,1,,
5,слыша,глаголы созерцания,1,,
5,чувствовал ,глаголы интеллектуальной деятельности,1,,
5,камни,объекты маленького размера,1,,
5,и,- ,1,,
5,драгоценности,объекты маленького размера,1,,
5,серебро,объекты маленького размера,1,,
5,веря,глаголы интеллектуальной деятельности,1,,
5,знал и то,глаголы интеллектуальной деятельности,1,,
5,с ликом императора,внешняя характеристика объекта,1,,
5,он понял,глаголы интеллектуальной деятельности,1,,
5,цветы и конфеты,объекты маленького размера,1,,
5,не смотря на то,-,1,,
5,палки,крупные объекты,1,,
5,большиие,"внешняя характеристика объекта, размер",1,,
5,инжир,объекты маленького размера,1,,
5,украшения,объекты маленького размера,1,,
6,чудо,чудо,25,,
6,то,-,3,,
6,спасение,чудо,1,,
6,момент,наименование событий,1,,
6,иисуса,чудо,1,,
6,воочию,вариант совершения деятельности,1,,
6,это событие,наименование событий,1,,
6,свой,принадлежность,1,,
6,невероятное зрелище,чудо,1,,
6,сенсацию,чудо,1,,
6,мессию,чудо,1,,
6,девушку,человец,1,,
6,это чудо,чудо,1,,
6,происходящее,наименование событий,1,,
6,это,-,1,,
6,невероятное,чудо,1,,
6,голубыми ,цвет,1,,
6,сцену,наименование событий,1,,
7,вырвался,Глаголы физического воздействия на объект,26,,
7,выскользнул,Глаголы физического воздействия на объект,3,,
7,вырывается,Глаголы физического воздействия на объект,2,,
7,ускользал,Глаголы физического воздействия на объект,1,,
7,ускользает,Глаголы физического воздействия на объект,1,,
7,спасется,Глаголы физического воздействия на объект,1,,
7,ускользнул,Глаголы физического воздействия на объект,1,,
7,вырванный,Глаголы физического воздействия на объект,1,,
7,которому удалось,Глаголы осуществления события,1,,
7,взял,Глаголы физического воздействия на объект,1,,
7,был вырван,Глаголы физического воздействия на объект,1,,
7,выберется,глаголы физического действия,1,,
7,убежал,глаголы физического действия,1,,
7,вырывался,Глаголы физического воздействия на объект,1,,
8,веревки,"объекты, сковывающие действия",16,,
8,одежду,одежда,5,,
8,кандалы,"объекты, сковывающие действия",4,,
8,оковы,"объекты, сковывающие действия",4,,
8,путы,"объекты, сковывающие действия",3,,
8,доспехи,одежда,2,,
8,шлем,одежда,2,,
8,цепи,"объекты, сковывающие действия",2,,
8,кожу,часть тела,2,,
8,тряпки,одежда,1,,
8,рубашку,одежда,1,,
8,лохмотья,одежда,1,,
8,тунику,одежда,1,,
8,плащ,одежда,1,,
8,крест,"одежда, объект религии",1,,
9,допросе,процесс/действие выяснения обстоятельств,6,,
9,запястьях,часть тела,9,,
9,кресте,место в пространстве,4,,
9,дыбе,часть тела,2,,
9,локтях,часть тела,2,,
9,излом,часть тела,1,,
9,распятии,место в пространстве,1,,
9,суставах,часть тела,1,,
9,пытках,процесс/действие выяснения обстоятельств,1,,
9,вверх,характеристика увечий,1,,
9,зад,часть тела,1,,
9,обоженных,характеристика увечий,1,,
9,мосту,место в пространстве,1,,
9,изнанку,характеристика увечий,1,,
9,ногах и,часть тела,1,,
9,обоих,число,1,,
9,бегу,скорость выполнения действия,1,,
9,запястьях,часть тела,1,,
9,столбе,место в прострастве,1,,
9,тонких,внешняя характеристика предмета,1,,
9,плече,часть тела,1,,
9,плечах и,часть тела,1,,
9,допросах,процесс/действие выяснения обстоятельств,1,,
9,кроточащих,характеристика увечий,1,,
10,сумасшедшей ,психическое состояние,4,,
10,глупой,интеллектуальное состояние,3,,
10,счастливой,эмоциональное состояние,3,,
10,доброй,эмоциональное состояние,3,,
10,детской,психическое состояние,2,,
10,безумной,психическое состояние,2,,
10,искренней,эмоциональное состояние,2,,
10,радостной,эмоциональное состояние,2,,
10,странной,психическое состояние,2,,
10,улыбкой,выражение лица,2,,
10,смешной,эмоциональное состояние,1,,
10,своей,принадлежность,1,,
10,усталой,физическое состояние,1,,
10,благодарной,эмоциональное состояние,1,,
10,тупой,интеллектуальное состояние,1,,
10,измученной,физичекое состояние,1,,
10,бледной,сила выражения эмоций,1,,
10,безмятежной,эмоциональное состояние,1,,
10,потерянной,эмоциональное состояние,1,,
10,блаженной,эмоциональное состояние,1,,
10,и дерзкой,психическое состояние,1,,
10,восковой,сила выражения эмоций,1,,
10,беззубой,физическое состояние,1,,
10,счастливой,эмоциональное состояние,1,,
10,натянутой,сила выражения эмоций,1,,
10,беспощадной,эмоциональное состояние,1,,
10,и глупой,интеллектуальное состояние,1,,
10,едва заметной,сила выражения эмоций,1,,
10,грустной,эмоциональное состояние,1,,
11,знал,глаголы интеллектуальной деятельности,24,,
11,видит,глаголы созерцания,3,,
11,понимал,глаголы интеллектуальной деятельности,3,,
11,понял,глаголы интеллектуальной деятельности,3,,
11,не знал,глаголы интеллектуальной деятельности,2,,
11,заметил,глаголы созерцания,2,,
11,видел,глаголы созерцания,1,,
11,догадывался,глаголы интеллектуальной деятельности,1,,
11,подозревал,глаголы интеллектуальной деятельности,1,,
11,подумал,глаголы интеллектуальной деятельности,1,,
11,увидел,глаголы созерцания,1,,
11,знает,глаголы интеллектуальной деятельности,1,,
11,сказал,глаголы речевой деятелньости,1,,
11,занл,глаголы интеллектуальной деятельности,1,,
12,ступеням,место в пространстве,5,,
12,воротам,место в пространстве,18,,
12,стенам,место в пространстве,3,,
12,перилам,место в пространстве,2,,
12,дверям,место в пространстве,2,,
12,башням,место в пространстве,1,,
12,тропам,"Объект в пространстве, имеющий направление",1,,
12,коридором,"Объект в пространстве, имеющий направление",1,,
12,распятям,место в пространстве,1,,
12,гильотинам,место в пространстве,1,,
12,троих,число,1,,
12,крестам,место в пространстве,1,,
12,поручням,место в пространстве,1,,
12,помостам,место в пространстве,1,,
12,виселицам,место в пространстве,1,,
12,столбам,место в пространстве,1,,
12,линиям,место в пространстве,1,,
12,строениям,место в пространстве,1,,
13,дорогу,"Объект в пространстве, имеющий направление",32,,
13,улицу,"Объект в пространстве, имеющий направление",5,,
13,тропу,"Объект в пространстве, имеющий направление",4,,
13,площадь,место в пространстве,2,,
13,читую воду,-,1,,
13,арену,место в пространстве,1,,
13,перед,место в пространстве,1,,
14,осужденных,наименование групп лиц,9,,
14,людей,наименование групп лиц,3,,
14,смерть,конец бытия,2,,
14,казни,вид наказания,2,,
14,толпу,наименование групп лиц,2,,
14,больше,направление ,2,,
14,дальше,направление ,1,,
14,казнь,вид наказания,1,,
14,однако,-,1,,
14,его,принадлежность,1,,
14,гору,место в пространстве ,1,,
14,сам,человек,1,,
14,крест,объект религии,1,,
14,приговоренных,наименование групп лиц,1,,
14,помост,место в пространстве,1,,
14,пленников,наименование групп лиц,1,,
14,усталый,физическое состояние,1,,
14,легионеров,наименование групп лиц,1,,
14,тьма,нехватка света,1,,
14,мосту,место в пространстве ,1,,
14,город,место в пространстве ,1,,
14,этого,-,1,,
14,всю эту боль,физическое состояние,1,,
14,чего,-,1,,
14,здесь,место в пространстве ,1,,
14,но ,-,1,,
