Позиция,Слово,Семантическое поле,Количество,,,,,,,,,,,,,,,
1,пустому,характеристика помещения,9,,,,,,,,,,,,,,,
1,длинному,характеристика помещения,9,,,,,,,,,,,,,,,
1,темному,характеристика помещения,6,,,,,,,,,,,,,,,
1,коридору,часть помещения,6,,,,,,,,,,,,,,,
1,лестнице,часть помещения,5,,,,,,,,,,,,,,,
1,зданию,помещение,2,,,,,,,,,,,,,,,
1,тихому,характеристика помещения,2,,,,,,,,,,,,,,,
1,серому,цвет,1,,,,,,,,,,,,,,,
1,долгому,характеристика помещения,1,,,,,,,,,,,,,,,
1,колидору,часть помещения,1,,,,,,,,,,,,,,,
1,замку,помещение,1,,,,,,,,,,,,,,,
1,мрачному,характеристика помещения,1,,,,,,,,,,,,,,,
1,комнате,помещение,1,,,,,,,,,,,,,,,
2,коридору,часть помещения,36,,,,,,,,,,,,,,,
2,ковру,часть помещения,3,,,,,,,,,,,,,,,
2,полу,часть помещения,2,,,,,,,,,,,,,,,
2,корридору,часть помещения,2,,,,,,,,,,,,,,,
2,пути,"пространство, имеющее направление",1,,,,,,,,,,,,,,,
2,помещению,помещение,1,,,,,,,,,,,,,,,
2,шуму,звук,1,,,,,,,,,,,,,,,
2,паркету,часть помещения,1,,,,,,,,,,,,,,,
2,лесу,природное пространство,1,,,,,,,,,,,,,,,
3,здании,помещение,5,,,,,,,,,,,,,,,
3,кабинете,помещение,21,,,,,,,,,,,,,,,
3,помещении,помещение,12,,,,,,,,,,,,,,,
3,месте,помещение,5,,,,,,,,,,,,,,,
3,компьютере,техника,1,,,,,,,,,,,,,,,
3,зале,помещение,1,,,,,,,,,,,,,,,
3,пространстве,помещение,1,,,,,,,,,,,,,,,
3,острове,пространство,1,,,,,,,,,,,,,,,
3,диване,предмет мебели,1,,,,,,,,,,,,,,,
4,стеклянные,материал,5,,,,,,,,,,,,,,,
4,маленькие,внешняя характеристика предмета по размеру,17,,,,,,,,,,,,,,,
4,небольшие,внешняя характеристика предмета по размеру,13,,,,,,,,,,,,,,,
4,низкие,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
4,старинные,эстетическая характеристика,1,,,,,,,,,,,,,,,
4,по-меньше,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
4,стулья,предмет мебели,1,,,,,,,,,,,,,,,
4,тумбочки,предмет мебели,1,,,,,,,,,,,,,,,
4,столы и тумбы и,предмет мебели,1,,,,,,,,,,,,,,,
4,столы  ,предмет мебели,1,,,,,,,,,,,,,,,
4,сиреневые,цвет,1,,,,,,,,,,,,,,,
4,стеллажи,предмет мебели,1,,,,,,,,,,,,,,,
4,диковенные,эстетическая характеристика,1,,,,,,,,,,,,,,,
4,разнообразные,эстетическая характеристика,1,,,,,,,,,,,,,,,
4,высокие,внешняя характеристика предмета по размеру,1,,,,,,,,,,,,,,,
5,инструментами,инструменты,8,,,,,,,,,,,,,,,
5,ручками,части мебели,28,,,,,,,,,,,,,,,
5,приборами,инструменты,2,,,,,,,,,,,,,,,
5,деталями,части мебели,1,,,,,,,,,,,,,,,
5,красками,инструменты,1,,,,,,,,,,,,,,,
5,надписями,части мебели,1,,,,,,,,,,,,,,,
5,предметами,предметы,1,,,,,,,,,,,,,,,
5,ножками,части мебели,1,,,,,,,,,,,,,,,
5,дверками,части мебели,1,,,,,,,,,,,,,,,
5,изделиями,предметы,1,,,,,,,,,,,,,,,
5,чайниками,электроприборы,1,,,,,,,,,,,,,,,
5,колбами,инструменты,1,,,,,,,,,,,,,,,
6,кресла,предмет мебели,5,,,,,,,,,,,,,,,
6,приборы,электроприборы,6,,,,,,,,,,,,,,,
6,предметы,предметы,3,,,,,,,,,,,,,,,
6,приспособления,предметы,2,,,,,,,,,,,,,,,
6,детали,инструменты,2,,,,,,,,,,,,,,,
6,механизмы,механизмы,2,,,,,,,,,,,,,,,
