Пропуск,Слово,Семантическое поле,Количество
1,глазах,Часть тела,41
1,голове,Часть тела,6
2,испариной,Телесные жидкости,29
2,потом,Телесные жидкости,15
2,каплями пота,Телесные жидкости,1
2,испаринойп,Телесные жидкости,1
2,капельками пота,Телесные жидкости,1
3,вырвать,Глаголы воздействия на объект,5
3,взять,Глаголы воздействия на объект,18
3,принять,Глаголы воздействия на объект,10
3,забрать,Глаголы воздействия на объект,6
3,украсть,Глаголы воздействия на объект,2
3,выхватить,Глаголы воздействия на объект,1
3,изъять,Глаголы воздействия на объект,1
3,вызволить,Глаголы воздействия на объект,1
3,достать,Глаголы воздействия на объект,1
3,извлечь,Глаголы воздействия на объект,1
3,выдрать,Глаголы воздействия на объект,1
4,жизни,жизнь,44
4,голове,часть тела,1
4,свете,часть тела,1
5,полюбил,глаголы выражения эмотивного состояния,0
5,любит,глаголы выражения эмотивного состояния,26
5,любил,глаголы выражения эмотивного состояния,20
5,ненавидел,глаголы выражения эмотивного состояния,1
6,памяти,интеллект,4
6,голове,часть тела,15
6,мыслях,интеллект,8
6,глазах,часть тела,5
6,сознании,интеллект,3
6,мозгу,часть тела,2
6,момент,время,2
6,мозге,часть тела,1
6,миг,время,1
6,море,природа,1
6,агония,чувства и эмоции,1
6,случае,случай,1
6,разуме,интеллект,1
6,мяслях,интеллект,1
6,кино,культура,1
7,жизнь,жизнь,46
7,рыба,животное,1
8,слово,речь,41
8,дыхание,физиологические действия,3
8,движение,движение,2
8,сердцебиение,физиологические действия,1
9,фонтана,место в пространстве,4
9,себя,человек,9
9,моря,место в пространстве,3
9,реки,место в пространстве,3
9,него,человек,2
9,нерона,человек,2
9,друзей,человек,2
9,дома,место в пространстве,2
9,дороги,место в пространстве,1
9,жизель,человек,1
9,тебя,человек,1
9,соседей,человек,1
9,крыльца,место в пространстве,1
9,пруда,место в пространстве,1
9,виниция,человек,1
9,аврама,человек,1
9,них,человек,1
9,окна,место в пространстве,1
9,озера,место в пространстве,1
9,брата,человек,1
9,другого,человек,1
9,них в гостях,человек,1
9,церкви,место в пространстве,1
10,желанной,глаголы выражения эмотивного состояния,6
10,красивой,эстетическая оценка,6
10,милой,эстетическая оценка,5
10,очаровательной,эстетическая оценка,3
10,любимой,глаголы выражения эмотивного состояния,2
10,ласковой,глаголы выражения эмотивного состояния,2
10,изысканной,эстетическая оценка,2
10,женственной,эстетическая оценка,2
10,чудесной,эстетическая оценка,2
10,страстной,глаголы выражения эмотивного состояния,2
10,доброй,эстетическая оценка,2
10,умной,характеристика интллекта,2
10,возвышенной,эстетическая оценка,1
10,светлой,эстетическая оценка,1
10,чистой,эстетическая оценка,1
10,блаженной,глаголы выражения эмотивного состояния,1
10,любящей,глаголы выражения эмотивного состояния,1
10,изящной,эстетическая оценка,1
10,совершенной,эстетическая оценка,1
10,милой,эстетическая оценка,1
10,привлекательной,эстетическая оценка,1
10,легкой,эстетическая оценка,1
11,небожителей ,Бог,3
11,богов,Бог,8
11,бессмертных,Бог,8
11,живых,человек,4
11,людей,человек,2
11,милее,эстетическая характеристика ,1
11,избранных,характеристика по статусу,1
11,безсмертных,Бог,1
11,ангелов,Бог,1
11,грешников,Бог,1
11,мертвых,Смерть,1
11,вокруг,место в пространстве,1
11,умерших,Смерть,1
11,бессметных,Бог,1
11,благородных,характеристика по статусу,1
11,бесмертных,Бог,1
11,богинь,Бог,1
11,ушедших,Смерть,1
11,неземных,Бог,1
11,святых,Бог,1
12,подумал,глаголы интеллектуальной деятельности,6
12,понял,глаголы интеллектуальной деятельности,24
12,думал,глаголы интеллектуальной деятельности,2
12,осознал,глаголы интеллектуальной деятельности,2
12,узнал,глаголы интеллектуальной деятельности,2
12,понимал,глаголы интеллектуальной деятельности,1
12,рассказал,глаголы речевой деятельности,1
12,почувствовал,глаголы выражения эмотивного состояния,1
12,увидел,глаголы интеллектуальной деятельности,1
12,с ней,человек,1
12,вспоминал,глаголы интеллектуальной деятельности,1
12,видел,глаголы интеллектуальной деятельности,1
12,вспомнил,глаголы интеллектуальной деятельности,1
13,кровью,часть тела,4
13,жизнью,жизнь,7
13,смыслом,смысл,4
13,любовью,чувства и эмоции,3
13,частью,часть тела,2
13,тревожить,глаголы выражения эмотивного состояния,1
13,единственным,число,1
13,целью,цель,1
13,спасением,чувства и эмоции,1
13,увлечением,чувства и эмоции,1
13,навождением,чувства и эмоции,1
13,воображением,чувства и эмоции,1
13,наваждением,чувства и эмоции,1
13,миром,мир,1
13,телом,часть тела,1
13,лучом,неживая природа,1
13,другом,человек,1
13,братом,семья,1
13,головной болью,Здоровье,1
13,мечтой,мечта,1
13,жизньюстены,-,1
13,радостью,чувства и эмоции,1
13,огненным спутником,неживая природа,1
13,плотью,часть тела,1
13,душой,душа,1
13,нежным,эстетическая характеристика,1
14,жизнью,жизнь,11
14,судьбой,судьба,4
14,любовью,чувства и эмоции,3
14,всем,мир,2
14,душой,душа,2
14,проницать,глаголы созерцания,1
14,неповторимым,эстетическая характеристика,1
14,погибелью,смерть,1
14,наградой,награда,1
14,страстью,чувства и эмоции,1
14,мечтой,чувства и эмоции,1
14,плотью,часть тела,1
14,светом,свет,1
14,врагом,человек,1
14,другом,человек,1
14,разумом,интеллект,1
14,мыслями,интеллект,1
14,болезнью,Здоровье,1
14,желанием,чувства и эмоции,1
14,сердцем,часть тела,1
14,кровью,часть тела,1
14,ангелом,Бог,1
14,сильным,внешняя характеристика,1
15,мучительной,эмотивная характеристика,3
15,сильной,характеристика силы,22
15,силы,сила,5
15,невыносимой,эмотивная характеристика,4
15,острой,внешняя характеристика,2
15,страшной,эмотивная характеристика,2
15,глубокой,внешняя характеристика,1
15,нестерпимой,эмотивная характеристика,1
15,невозможной,эмотивная характеристика,1
15,ужасной,эмотивная характеристика,1
15,не существует,глаголы бытия,1
15,жуткой,эмотивная характеристика,1
15,адской,эмотивная характеристика,1
15,дикой,эмотивная характеристика,1
16,стены,часть сооружения,14
16,стену,часть сооружения,25
16,скалы,природа,1
16,плиты,материал,1
16,камни,материал,1
16,шкаф,предмет мебели,1
16,стол,предмет мебели,1
17,жить,глаголы бытия,34
17,дышать,глаголы бытия,2
17,простить себе,глаголы социальных взаимоотношений,2
17,существовать,глаголы бытия,2
17,простить,глаголы социальных взаимоотношений,1
17,решить,глаголы интеллектуальной деятельности,1
17,спасти,глаголы социальных взаимоотношений,1
17,прыгать,глаголы движения,1
17,успокоится,глаголы ,1
18,умереть,глаголы бытия,12
18,жить,глаголы бытия,12
18,дышать,глаголы бытия,9
18,существовать,глаголы бытия,3
18,успокоиться,глаголы физиологической деятельности,2
18,спокойно жить,глаголы бытия,1
18,простить,глаголы социальных взаимоотношений,1
18,спать,глаголы физиологической деятельности,1
18,полюбить,глаголы выражения эмотивного состояния,1
18,думать,глаголы интеллектуальной дятельности,1
18,остановится,глаголы прекращения движения,1
19,беспокойство,чувства и эмоции,13
19,удовольствие,чувства и эмоции,11
19,неудобство,чувства и эмоции,7
19,облегчение,чувства и эмоции,3
19,утешение,чувства и эмоции,3
19,успокоение,чувства и эмоции,2
19,возбуждение,чувства и эмоции,1
19,наслаждение,чувства и эмоции,1
19,наслождение,чувства и эмоции,1
19,удовлетворение,чувства и эмоции,1
19,недопонимание,чувства и эмоции,1
19,ощущение,чувства и эмоции,1
19,спокойствие,чувства и эмоции,1
20,горшков,место для посадки цветов,22
20,клумб,место для посадки цветов,16
20,ваз,место для посадки цветов,2
20,ванн,гигиена,1
20,горшках,место для посадки цветов,1
20,лугов,место для посадки цветов,1
20,клубм,место для посадки цветов,1
20,горшок,место для посадки цветов,1
21,домашним,семья,5
21,богам,Бог,7
21,верным,эмотивная характеристика,4
21,друзьям,человек,3
21,братьям,семья,2
21,многочисленным,число,1
21,фамильным,семья,1
21,божественным,Бог,1
21,близким,семья,1
21,предкам,семья,1
21,небесным,Бог,1
21,преданным,эмотивная характеристика,1
21,клятвам,речь,1
21,покровителям,человек по статусу,1
21,сердцем,часть тела,1
21,врагам,человек,1
21,руками,часть теа,1
21,демонам,Бог,1
21,любимым,эмотивная характеристика,1
21,остальным,число,1
21,ближайшим,характеристкаи по отношению к человеку,1
21,личным,человек,1
21,священным,Бог,1
21,родственникам,семья,1
22,жить,глаголы бытия,39
22,существовать,глаголы бытия,1
22,надо,необходимость,1
22,понятно,интеллектуальная деятельность,1
22,ходить,глаголы движения,1
22,жеть,глаголы бытия,1
22,делать,глаголы деятельности,1
22,важнее,важность,1
23,ночи,время,37
23,пустоту,пустота,2
23,существование,жизнь,1
23,мысли,интеллект,1
23,месяцы,время,1
23,ночь,время,1
23,часы,время,1
23,недели,время,1
23,умереть,глаголы бытия,1
24,отказавшись,глаголы речевой деятельности,9
24,только,число,3
24,отделавшись,глаголы воздействия на объект,2
24,радуясь,глаголы выражения эмотивного состояния,2
24,страдая,глаголы выражения эмотивного состояния,2
24,знобило,глаголы физиологической деятельности,1
24,переживая,глаголы выражения эмотивного состояния,1
24,тогда,-,1
24,и,-,1
24,счастливый,эмотивная характеристика,1
24,он отказался,глаголы речевой деятельности,1
24,передрягивало,глаголы выражения эмотивного состояния,1
24,было страшно,глаголы выражения эмотивного состояния,1
24,пугаясь,глаголы выражения эмотивного состояния,1
24,грустно,эмотивная характеристика,1
24,желание,желание,1
24,сгорая,огонь,1
24,мозги,часть тела,1
24,но,-,1
24,мучаясь,глаголы выражения эмотивного состояния,1
24,содрогнувшись,глаголы физиологической деятельности,1
24,он,человек,1
24,взбодрясь,глаголы физиологической деятельности,1
24,теперь каждый раз,время,1
24,убегая,глаголы одностороннего движения,1
24,холодел,глаголы физиологической деятельности,1
24,тепло,температура,1
25,велел,глаголы речевой деятельности,8
25,приказал,глаголы речевой деятельности,6
25,решил,глаголы интеллектуальной деятельности,5
25,должен,глаголы социальных взаимоотношений,3
25,повелел,глаголы речевой деятельности,2
25,духовной,Бог,1
25,разрешил,глаголы речевой деятельности,1
25,решился,глаголы интеллектуальной деятельности,1
25,снова,время,1
25,распорядился,глаголы речевой деятельности,1
25,чтобы,-,1
25,хотел,желание,1
25,был обязан,глаголы социальных взаимоотношений,1
