,index,words,values
0,1,"повернуться, развернуться, обернуться, оглянуться","[[0], [-1], [-1], [-2]]"
1,2,ступень,[[0]]
2,3,шашка,[[0]]
3,4,спина,[[0]]
4,5,финик,[[0]]
5,6,чудо,[[0]]
6,7,"вырваться, вырываться, ускользать, ускользнуть","[[0], [0], [-1], [-1]]"
7,8,путы,[[-1]]
8,9,допрос,[[0]]
9,10,"сумасшедший, безумный","[[0], [0]]"
10,11,знать,[[0]]
11,12,ступень,[[0]]
12,13,дорога,[[0]]
13,14,человек,"[[1, 3]]"
14,15,глашатай,[[0]]
15,16,греческий,[[0]]
16,17,труба,[[0]]
17,18,,[]
18,19,"мальчишка, человек, ребята","[[0], [2, 2, 3], [1]]"
19,20,"солдат, легионер, воин","[[0], [-1], [3]]"
20,21,значок,[[0]]
21,22,остановиться,"[[0, 2]]"
22,23,"вылететь, вылетать","[[0], [0]]"
23,24,каменный,[[0]]
24,25,виноград,[[0]]
25,26,"дорога, путь","[[0], [0]]"
26,27,мальчик,[[0]]
27,28,"командир, воин","[[0], [3]]"
28,29,выхватить,[[0]]
29,30,взмокнуть,[[0]]
30,31,шарахнуться,[[0]]
31,32,"командир, воин","[[0], [3]]"
32,33,шея,[[0]]
33,34,"полететь, нестись, помчаться, промчаться, мчать","[[0], [0], [0], [0], [0]]"
34,35,туча,[[0]]
35,36,,[]
36,37,,[]
37,38,сверкать,[[0]]
38,39,"солдат, воин","[[0], [3]]"
39,40,труба,[[0]]
40,41,"морщить, хмурить, морщиться, сморщить","[[0], [-1], [0], [0]]"
41,42,"двинуться, пойти, поехать, направиться, отправиться","[[0], [0], [0], [1], [0]]"
42,43,"двинуться, следовать, проследовать, направиться, поехать","[[0], [1], [1], [1], [0]]"
43,44,пустой,[[0]]
44,45,коридор,[[0]]
45,46,"здание, место","[[0], [3]]"
46,47,стеклянный,[[0]]
47,48,"инструмент, предмет","[[0, 1], [2]]"
48,49,кресло,[[0]]
49,50,колпак,[[0]]
50,51,"провод, вещь","[[0], [3]]"
51,52,"приняться, взяться, схватиться, отвечать","[[0], [0], [-1], [3]]"
52,53,"столик, стол, мебель","[[-2, 0], [-1, 0], [1]]"
53,54,обдумывать,[[0]]
54,55,"соблазнять, привлекать, манить","[[0], [1], [1]]"
55,56,замысловатый,[[0]]
