Лист 1-Tаблица 1
Пропуск;Лок ;Глоб ;Деп ;Из 
1;44;1;2;47
2;21;23;1;47
3;39;5;- ;47
4;46;- ;1;47
5;29;5;2;47
6;14;28;2;47
7;43;-;-;47
8;26;20;-;47
9;28;13;1;47
10;43;-;1;47
11;45;-;-;47
12;32;11;-;47
13;46;-;-;47
14;22;22;1;47
15;20;19;-;47
16;8;33;1;47
17;26;9;2;47
18;38;-;-;47
19;40;1;1;47
20;14;25;1;47
21;28;8;1;47
22;33;-;3;47
23;46;-;1;47
24;40;-;-;47
25;34;-;1;47
26;39;-;-;47
27;34;-;-;47
28;13;18;-;47
29;46;-;-;47
30;36;- ;1;47
31;35;2;-;47
32;15;29;-;47
33;43;-;-;47
34;44;-;-;47
35;43;1;-;47
36;24;14;2;47
37;33;-;-;47
38;39;;;47
39;8;30;;47
40;38;15;;47
41;33;;;47
42;37;3;;47
43;34;2;;47
