2_merge
;Слово;user_0;user_1;user_2;Вывод
0;10;local;local;local;Local 
1;абажурами;local;local;local;Local
2;абажюрами;local;dep;local;Local
3;агрессивный;local;local;local;Local
4;алкоголик;local;global;local;Local
5;анализировать;local;global;local;Local
6;аппараты;global;global;local;Global
7;арестован;global;global;global;Global
8;бедро;local;global;local;Local
9;бежал;local;global;local;Local
10;бежать;local;dep;local;Local
11;бежать;local;dep;local;Local
12;бежать;local;local;local;Local
13;бежать;local;local;local;Local
14;бежать;local;dep;local;Local
15;бежать;local;dep;local;Local
16;бежать;local;local;local;Local
17;бежать;local;local;local;Local
18;бесполезные;local;global;local;Local
19;бесшабашный;local;local;local;Local
20;бил;local;global;local;Local
21;блестящие;global;global;local;Global
23;блестящие;global;local;local;Local
25;блестящие;local;global;local;Local
27;блестящие;local;local;local;Local
29;бок;local;global;local;Local
30;боками;local;local;local;Local
31;болезни;global;global;local;Global
38;болезни;local;global;local;Local
39;болезнях;global;global;local;Global
40;болел;local;global;local;Local
67;болели;local;local;local;Local
68;болен;local;global;local;Local
69;больнице;local;global;local;Local
70;больной;global;global;global;Global
71;большой;local;none;local;Local
72;брат;local;dep;local;Local
73;бросить;local;local;local;Local
74;буйный;local;local;local;Local
75;бумагу;local;local;local;Local
76;бы;none;local;local;Local
77;бык;local;local;local;Local
78;был;local;local;local;Local
82;был;none;local;local;Local
86;были;local;dep;local;Local
87;было;local;dep;local;Local
90;было;local;local;local;Local
113;было;local;local;local;Local
114;быть;none;local;local;Local
115;ведь;local;local;local;Local
116;вену;local;global;local;Local
117;верил;local;local;local;Local
118;верили;local;local;local;Local
126;верный;local;dep;local;Local
127;верным;global;local;local;Local
128;веществами;global;global;global;Global
129;вещи;local;local;local;Local
132;вещи;local;dep;local;Local
137;вздрагивали;local;global;local;Local
138;взялись;global;local;local;Local 
139;взять;local;local;local;Local
140;виноват;local;global;local;Local
141;витражи;global;dep;local;Dep
142;внимания;local;global;local;Local
143;воевал;local;global;local;Local
144;волновал;local;global;local;Local
145;волновался;local;local;local;Local
146;волосатой;local;local;local;Local
147;вопросов;local;global;local;Local 
155;воровал;local;local;local;Local
156;вошли;local;dep;local;Local
157;впалой;local;none;local;Local
158;времени;local;local;local;Local
159;время;local;local;local;Local
186;всей;local;local;local;Local
187;вспомнилось;local;local;local;Local
188;вставками;local;local;local;Local
189;встали;local;dep;local;Local
190;встречу;local;local;local;Local
191;второй;local;global;local;Local
192;вчерашнего;global;global;local;Global
193;вчерашнем;local;global;global;Global
194;вчерашний;global;global;local;Global
195;вызнали;local;global;local;Local
196;выключателями;local;local;local;Local
197;выполнить;local;local;local;Local
198;выпонить;local;local;local;Local
199;выправлять;local;local;local;Local
200;выпросили;local;global;local;Local
201;выпытали;none;global;local;Local
202;выпытывали;none;global;local;Local
203;высокие;local;global;local;Local
204;выспрашивали;local;global;local;Local
205;выспрашивать;local;local;local;Local
206;выспросили;local;global;local;Local
207;выясняли;local;global;local;Local
208;выяснять;local;local;local;Local
209;газа;local;dep;local;Local
210;генераторы;local;global;local;Local
211;гладкой;local;local;local;Local
212;глаза;local;local;local;Local
213;глупец;local;local;local;Local
214;глупый;local;local;local;Local
215;глупым;global;global;local;Global
216;говорит;local;dep;local;Local
217;говорить;local;local;local;Local
218;голой;local;dep;local;Local
219;голосовали;local;local;local;Local
220;горелки;global;dep;local;Local
221;горло;local;global;local;Local
222;горячим;local;global;local;Local
223;градусы;local;global;local;Local
224;груди;local;local;local;Local
225;давешнем;local;global;local;Local
226;давление;global;global;local;Global
227;данный;local;local;local;Local
228;дверками;local;local;local;Local
229;дверь;local;local;local;Local
230;дверью;local;dep;local;Local
231;действовал;local;local;local;Local
232;делал;local;local;local;Local
233;дерзкий;local;local;local;Local
234;детали;local;local;local;Local
241;детали;local;dep;local;Local
242;деталями;local;local;local;Local
243;детстве;local;local;local;Local
244;диалог;local;local;local;Local
245;диване;local;dep;local;Local
246;дивные;global;global;local;Global
247;диким;local;local;local;Local
248;диковенные;global;global;local;Global
257;диодами;global;local;local;Local
258;длинному;local;global;local;Local
259;дневном;local;local;local;Local
260;добиться;local;local;local;Local
261;добрее;local;dep;local;Local
262;долгому;local;dep;local;Local
263;доску;local;local;local;Local
264;достичь;local;local;local;Local
265;дрался;local;global;local;Local
266;дрожали;local;local;local;Local
267;другие;local;local;local;Local
268;другому;local;global;local;Local
269;дрыгались;local;global;local;Local
270;дурак;local;local;local;Local
271;дурак;local;local;global;Local
272;дурак;local;global;local;Local
273;дурак;local;global;global;Global
278;духовки;global;global;local;Global
279;дёргались;local;global;local;Local
280;дёрнулись;local;global;local;Local
281;его;local;local;local;Local
289;ему;local;local;local;Local
290;железные;local;local;local;Local
291;жены;local;local;local;Local
292;живот;local;global;local;Local
293;жидкостями;global;local;global;Global
294;жизненный;local;local;local;Local
295;жизни;local;global;local;Local
299;жизни;local;local;local;Local
359;забллели;local;local;local;Local
360;заболели;local;local;local;Local
361;задержан;global;global;global;Global
362;задрожали;local;local;local;Local
363;заинтересовались;local;dep;local;Local
364;заковыричтые;global;global;local;Global
365;зале;local;local;local;Local
366;заманчивый;local;local;local;Local
367;замену;local;local;local;Local
368;замкнуться;local;global;local;Local
369;замку;local;local;local;Local
370;замысловатые;global;global;local;Global
377;замысловатые;global;local;local;Local
378;занавесом;local;dep;local;Local
379;занимать;local;local;local;Local
380;заражал;local;global;local;Local
381;заразил;local;global;local;Local
389;заразный;local;global;local;Local
390;заходило;local;dep;local;Local 
391;зачем;local;local;local;Local
