4
Слово;Тип;Тип;Тип;Вывод
появлялся;local;local;global;Local
отвечал;local;local;local;Local
мог;local;local;local;Local
говорил;local;local;local;Local
приходил;local;local;global;Local
отзывался;local;local;local;Local
видел;local;local;local;Local
возвращался;local;local;local;Local
понимал;local;local;local;Local
дышал;local;local;local;Local
подходил;local;local;local;Local
было;local;local;dep;Local
отвечала;local;local;dep;Local
просыпался;local;local;local;Local
понять;local;local;local;Local
шел;local;local;local;Local
читал;local;local;local;Local
объявлялся;local;local;global;Local
уснуть;local;local;local;Local
города;local;local;local;Local
выходил;local;local;local;Local
понимала;local;local;local;Local
сделать;local;local;local;Local
происходящее;local;local;local;Local
спал;local;local;local;Local
возвращался;local;local;local;Local
знал;local;local;local;Local
звонил;local;local;local;Local
решался;local;local;local;Local
останавливался;local;local;local;Local
связь;local;local;local;Local
появлялась;local;local;dep;Local
делать;local;local;local;Local
думать;local;local;local;Local
сказать;local;local;local;Local
подумать;local;local;local;Local
думать;local;local;local;Local
происходит;local;local;local;Local
предпринять;local;local;local;Local
дальш;local;local;local;Local
силах;local;local;local;Local
дальше;local;local;local;Local
есть;local;local;local;Local
делать;local;local;local;Local
тщательно;local;local;global;Local
самому;local;local;local;Local
торопясь;local;local;global;Local
постоянно;local;local;local;Local
долго;local;local;local;Local
непрерывно;local;local;local;Local
повсеместно;local;local;local;Local
себе;local;local;local;Local
себя;local;local;local;Local
там;local;dep;local;Local
успешно;local;local;local;Local
срочно;local;local;local;Local
самостоятельно;local;local;local;Local
всюду;local;local;local;Local
повсюду;local;local;local;Local
переговоры;local;local;local;Local
бухгалтерию;local;local;dep;Local
везде;local;local;local;Local
спешки;local;local;global;Local
вместе;local;local;local;Local
непрестанно;local;local;local;Local
деревне;local;local;local;Local
направлении;local;local;local;Local
доброкачественно;local;local;local;Local
упорней;local;local;local;Local
методично;local;local;local;Local
усерднее;local;local;local;Local
дома;local;local;local;Local
незамедлительно;local;local;local;Local
осторожно;local;local;local;Local
последнего;local;local;local;Local
pcorr;dep;dep;dep;Dep
сразу;local;local;local;Local
тщательно;local;local;global;Local
интернете;local;local;local;Local
лично;local;local;local;Local
авто;dep;local;local;Local
правильно;local;local;local;Local
тщательней;local;local;global;Local
друзей;local;local;local;Local
адекватно;local;local;local;Local
всегда;local;local;local;Local
обдуманно;local;local;local;Local
душа;local;local;local;Local
натура;local;local;dep;Local
страсть;local;local;local;Local
кровь;local;local;dep;Local
любовь;local;local;local;Local
природа;local;local;dep;Local
голова;local;local;local;Local
особенность;local;local;local;Local
характера;local;local;local;Local
темпераментная;local;local;local;Local
надежда;local;local;local;Local
впечатлительность;local;local;local;Local
реакция;local;local;local;Local
дошла;local;local;local;Local
подруга;local;local;local;Local
сущность;local;local;global;Local
разума;local;local;dep;Local
сердца;local;local;local;Local
равзума;local;local;dep;Local
женщины;local;local;local;Local
рассудка;local;local;dep;Local
него;local;local;local;Local
интуиции;local;local;local;Local
себя;local;local;local;Local
убеждения;local;local;local;Local
изнутри;local;local;local;Local
внутри;local;local;local;Local
её;local;global;local;Local
темным;local;global;local;Local
городским;local;global;global;Global
узким;local;global;local;Local
ночным;local;global;local;Local
улицам;local;local;local;Local
мрачным;local;global;local;Local
глухим;local;global;local;Local
и;local;dep;local;Local
мукам;local;local;local;Local
дворам;local;global;local;Local
и;local;dep;local;Local
освещённым;local;global;local;Local
пустынным;local;global;local;Local
безлюным;local;global;local;Local
многим;local;local;local;Local
пустым;local;global;local;Local
безлюдным;local;global;local;Local
извилистым;local;global;local;Local
бритвы;local;local;local;Local
темныи;local;local;local;Local
всяким;local;local;local;Local
замысловатым;local;local;local;Local
разным;local;local;local;Local
ночью;local;local;local;Local
шляпе;local;local;local;Local
раба;local;global;global;Global
очевидно;local;local;local;Local
нараспашку;local;local;local;Local
явно;local;local;local;Local
одному;local;local;local;Local
пят;local;local;local;Local
городе;local;global;local;Local
дело;local;local;local;Local
него;local;local;local;Local
вчера;local;local;local;Local
бытие;local;local;dep;Local
не;local;dep;local;Local
черни;local;global;global;Global
занятием;local;local;local;Local
шляпе;local;local;local;Local
бродяги;local;local;local;Local
каблуках;local;local;local;Local
это;local;dep;local;Local
шапке;local;local;local;Local
кругами;local;local;local;Local
изначально;local;local;local;Local
хаки;local;local;local;Local
кожи;local;local;local;Local
надзирателя;local;local;local;Local
казалось;local;local;local;Local
ночи;local;global;local;Local
человек;local;local;local;Local
распашку;local;local;local;Local
стражника;local;local;local;Local
тайным;local;local;local;Local
земли;local;local;local;Local
жены;local;local;local;Local
поясом;local;local;local;Local
вечерами;local;local;local;Local
городе;local;global;local;Local
зонтиком;local;local;local;Local
наверно;local;local;local;Local
бывалые;local;global;global;Global
которые;local;local;local;Local
свободные;local;local;global;Local
ответственные;local;local;local;Local
опытные;local;local;global;Local
простые;local;local;local;Local
недалекие;local;local;local;Local
разума;local;local;local;Local
его;local;local;local;Local
пленника;local;local;local;Local
послушники;local;local;local;Local
бывалве;local;global;global;Global
смекалистые;local;local;local;Local
честные;local;local;local;Local
подчинении;local;local;local;Local
народа;local;local;local;Local
знающие;local;local;global;Local
подчиняющиеся;local;local;local;Local
неподалёку;local;local;local;Local
влиятельные;local;local;local;Local
площах;local;local;global;Local
преданные;local;local;local;Local
черном;local;local;global;Local
и;local;dep;local;Local
хорошие;local;local;local;Local
прыткие;local;local;local;Local
хваткие;local;local;local;Local
покладистые;local;local;local;Local
улицы;local;local;local;Local
заинтересованные;local;local;local;Local
души;local;local;local;Local
подневольные;local;local;local;Local
благодарили;local;local;local;Local
близкие;local;local;local;Local
замысловатые;local;local;local;Local
умные;local;local;local;Local
беглые;local;local;local;Local
старательные;local;local;local;Local
темные;local;local;local;Local
охотники;local;local;local;Local
деятельные;local;local;local;Local
гобюые;dep;dep;local;Dep
успешными;local;local;global;Local
дельными;local;global;global;Global
удачливые;local;local;global;Local
результативными;local;local;global;Local
эффективными;local;local;global;Local
удачливыми;local;local;global;Local
расторопнее;local;local;local;Local
эффективнее;local;local;global;Local
опытными;local;local;local;Local
проворными;local;local;local;Local
бдительны;local;local;local;Local
расторопными;local;local;local;Local
тщательные;local;local;local;Local
ближе;local;local;local;Local
способные;local;local;local;Local
внимательными;local;local;local;Local
продуктивными;local;local;global;Local
влиятельные;local;local;local;Local
удачливы;local;local;local;Local
находчивыми;local;local;local;Local
умнее;local;local;local;Local
бесполезные;local;local;local;Local
результативны;local;local;global;Local
прыткие;local;local;local;Local
плодотворны;local;local;global;Local
проворные;local;local;local;Local
рьяными;local;local;local;Local
сообразительными;local;local;local;Local
прыткими;local;none;local;Local
продуктивные;local;local;global;Local
решительными;local;local;local;Local
удачливее;local;local;global;Local
правы;local;local;local;Local
успешные;local;local;global;Local
полезными;local;local;local;Local
слабее;local;local;local;Local
пронырнее;local;local;local;Local
ушлые;local;local;local;Local
способными;local;local;local;Local
пылким;local;local;local;Local
любовью;local;global;global;Global
ним;local;global;local;Local
интересом;local;local;local;Local
ними;local;global;local;Local
хилоном;global;global;global;Global
тягой;local;local;local;Local
этим;local;global;local;Local
солидарностью;local;local;local;Local
страстью;local;local;global;Local
другом;local;local;local;Local
присоединением;local;local;local;Local
рвением;local;local;local;Local
чувствам;local;local;local;Local
визитом;local;local;local;Local
ней;local;global;local;Local
людьми;local;local;local;Local
тем;local;local;local;Local
влечением;local;local;global;Local
привязанностью;local;local;global;Local
желанием;local;local;local;Local
ужасом;local;local;local;Local
симпатией;local;local;global;Local
чувствами;local;local;global;Local
нетерпением;local;local;local;Local
желание;local;global;none;Global
желающего;local;global;global;Global
жаждущего;local;global;global;Global
стремление;local;local;none;Local
чтобы;local;dep;none;Dep
стремящегося;local;local;global;Local
мечтающего;local;global;global;Global
хатящего;local;local;global;Local
азарт;local;local;local;Local
помог;local;local;local;Local
любовь;local;local;global;Local
вовы;dep;local;dep;Dep
жаждущешо;local;global;global;Global
умеющего;local;local;local;Local
легко;local;local;local;Local
страсть;local;local;local;Local
жажда;local;local;local;Local
страстью;local;local;dep;Local
надо;local;local;local;Local
победить;local;local;local;Local
хотелось;local;local;global;Local
желание;local;local;global;Local
хотел;local;local;local;Local
ему;local;global;local;Local
побуждающий;local;local;local;Local
побольше;local;local;local;Local
пытавшегося;local;local;local;Local
надежде;local;local;local;Local
малых;local;local;dep;Local
ранних;local;local;dep;Local
пятнадцати;local;local;local;Local
юных;local;local;dep;Local
десяти;local;local;local;Local
10;local;local;local;Local
14;local;local;local;Local
двадцати;local;local;local;Local
35;local;local;local;Local
многих;local;local;local;Local
5;local;local;local;Local
первых;local;local;local;Local
