1
Слово;Тип;Тип;Тип;Итог;Пропуск;Верно
повернулся;local;local;global;local;1;1
встал;local;local;local;local;1;0
развернулся;local;local;global;local;1;0
остановился;local;local;local;local;1;0
осмотрелся;local;local;local;local;1;0
кекнул;local;dep;local;local;1;0
улыбнулся;local;local;local;local;1;0
поснулся;local;dep;dep;Dep;1;0
вздохнул;local;local;global;Local;1;0
обернулся;local;local;local;Local;1;0
выпрямился;local;local;local;Local;1;0
повернул;local;local;local;Local;1;0
нахмурился;local;local;global;Local;1;0
выпил;local;dep;local;Local;1;0
повернуося;local;local;global;Local;1;0
подумал;local;local;local;Local;1;0
посмотрел;local;local;local;Local;1;0
деньги;dep;dep;dep;Dep;1;0
оглянулся;local;local;local;Local;1;0
понтий;global;global;global;global;1;0
ступеням;local;global;global;global;2;1
реке;local;local;local;Local;2;0
дворцу;local;local;global;Local;2;0
дому;local;local;local;Local;2;0
городу;local;local;local;Local;2;0
площади;local;global;global;global;2;0
охране;local;global;global;global;2;0
арке;local;global;global;global;2;0
плошади;local;global;global;global;2;0
суду;local;global;global;global;2;0
крепости;local;global;global;global;2;0
саду;local;global;global;global;2;0
берегу;local;local;local;Local;2;0
помосту;local;global;global;Global;2;0
огороду;local;dep;local;Local;2;0
толпе;local;global;global;global;2;0
дворцу;local;dep;global;Local;2;0
дороге;local;local;local;Local;2;0
улице;local;local;local;Local;2;0
собору;local;global;global;Global;2;0
побережью;local;local;local;Local;2;0
церкви;local;global;global;Global;2;0
банкиру;local;dep;local;Local;2;0
назад;dep;dep;dep;Dep;2;0
ступнням;local;dep;global;global;2;0
статуе;local;global;dep;global;2;0
лестнице;local;global;global;global;2;0
водоему;local;local;local;Local;2;0
досок;local;local;local;Local;3;0
камней;local;local;global;Local;3;0
шашек;local;global;global;Global;3;1
листьев;local;local;local;Local;3;0
плиток;local;local;global;Local;3;0
плит;local;local;global;Local;3;0
цветов;local;local;local;Local;3;0
полос;local;local;local;Local;3;0
кусков;local;dep;local;Local;3;0
участков;local;dep;local;Local;3;0
балок;local;dep;local;Local;3;0
пятен;local;local;local;Local;3;0
трав;local;local;local;Local;3;0
ламп;local;local;local;Local;3;0
да;local;dep;local;Local;3;0
островков;local;local;local;Local;3;0
спиной;local;local;local;Local;4;0
плечами;local;local;local;Local;4;0
спиною;local;local;global;Local;4;1
головой;local;local;local;Local;4;0
ним;local;dep;local;Local;4;0
шуба;dep;dep;dep;Dep;4;0
это;local;dep;local;Local;4;0
знал;local;local;local;Local;5;0
финики;dep;global;global;Global;5;1
понимая;local;local;local;Local;5;0
цветы;local;local;local;Local;5;0
звеня;local;local;local;Local;5;0
видел;local;local;local;Local;5;0
амулеты;local;dep;global;Local;5;0
слыша;local;local;local;Local;5;0
чувствовал;local;local;local;Local;5;0
камни;local;local;local;Local;5;0
и;local;local;none;Local;5;0
драгоценности;local;dep;local;Local;5;0
серебро;local;local;local;Local;5;0
веря;local;local;local;Local;5;0
то;local;local;local;Local;5;0
императора;local;dep;global;Dep;5;0
понял;local;local;local;Local;5;0
