2
Слово;Тип;тип;тип;вывод;пропуск;Верно?
длинному;local;global;local;Local;1;0
пустому;local;global;local;Local;1;1
темному;local;global;local;Local;1;0
коридору;local;local;local;Local;1;0
лестнице;local;local;local;Local;1;0
зданию;local;local;local;Local;1;0
тихому;local;global;local;Local;1;0
серому;local;global;local;Local;1;0
долгому;local;dep;local;Local;1;0
колидору;local;dep;dep;Dep;1;0
замку;local;local;local;Local;1;0
мрачному;local;global;local;Local;1;0
комнате;local;local;local;Local;1;0
коридору;local;local;local;Local;2;1
ковру;local;dep;local;Local;2;0
полу;local;dep;local;Local;2;0
корридору;local;dep;local;Local;2;0
пути;local;local;local;Local;2;0
помещению;local;local;local;Local;2;0
шуму;local;dep;local;Local;2;0
паркету;local;local;local;Local;2;0
лесу;local;local;local;Local;2;0
кабинете;local;global;global;global;3;0
помещении;local;local;global;Local;3;0
здании;local;local;global;Local;3;1
месте;local;local;local;Local;3;0
компьютере;local;dep;local;Local;3;0
зале;local;local;local;Local;3;0
пространстве;local;local;local;Local;3;0
острове;local;dep;local;Local;3;0
диване;local;dep;local;Local;3;0
маленькие;local;global;local;Local;4;0
небольшие;local;global;local;Local;4;0
стеклянные;local;global;global;global;4;1
низкие;local;global;local;Local;4;0
старинные;local;global;local;Local;4;0
меньше;local;dep;local;Local;4;0
стулья;local;local;local;Local;4;0
тумбочки;local;local;local;Local;4;0
и;local;local;local;Local;4;0
столы;local;local;local;Local;4;0
сиреневые;local;global;local;Local;4;0
стеллажи;local;local;local;Local;4;0
диковенные;local;global;global;global;4;0
разнообразные;local;global;local;Local;4;0
высокие;local;global;local;Local;4;0
ручками;local;local;local;Local;5;0
инструментами;local;global;global;global;5;1
приборами;local;global;global;global;5;0
деталями;local;local;local;Local;5;0
красками;local;dep;local;Local;5;0
надписями;local;dep;local;Local;5;0
предметами;local;local;local;Local;5;0
ножками;local;local;local;Local;5;0
дверками;local;local;local;Local;5;0
изделиями;local;local;local;Local;5;0
чайниками;local;local;local;Local;5;0
колбами;local;dep;global;Local;5;0
приборы;local;global;global;global;6;0
кресла;local;local;global;Local;6;1
предметы;local;local;local;Local;6;0
приспособления;local;global;global;global;6;0
детали;local;local;local;Local;6;0
механизмы;local;global;global;global;6;0
они;local;local;local;Local;6;0
