Слово;Тип;Тип;Тип;Вывод;Пропуск;Верно?
лицу;local;local;local;Local;1;1
волосам;local;local;local;Local;1;0
голове;local;local;local;Local;1;0
лбу;local;local;local;Local;1;0
руке;local;local;local;Local;1;0
сумке;local;local;local;Local;1;0
щеке;local;local;local;Local;1;0
глазам;local;local;local;Local;1;0
столу;local;local;local;Local;1;0
рулю;local;local;local;Local;1;0
книге;local;local;local;Local;1;0
ноге;local;local;local;Local;1;0
лицу;local;local;local;Local;1;0
прудах;local;local;global;Local;2;0
вечер;local;global;local;Local;2;1
стемнело;local;global;local;Local;2;0
пустынно;local;local;local;Local;2;0
прудахзеленоватая;local;dep;global;Dep;2;0
утро;local;local;local;Local;2;0
дождь;local;local;local;Local;2;0
пробка;local;local;local;Local;2;0
никого;local;local;local;Local;2;0
холодно;local;local;local;Local;2;0
сумерки;local;global;local;Local;2;0
садах;local;local;local;Local;2;0
ночь;local;global;global;Global;2;0
пруд;local;dep;global;Local;2;0
солнечно;local;local;local;Local;2;0
почернела;local;global;global;Global;3;1
прозрачная;local;local;local;Local;3;0
чистая;local;local;local;Local;3;0
спокойная;local;local;local;Local;3;0
холодная;local;local;local;Local;3;0
потемнела;local;global;global;Global;3;0
блестела;local;local;local;Local;3;0
качалась;local;local;local;Local;3;0
грязная;local;local;local;Local;3;0
рябила;local;local;local;Local;3;0
зеленоватая;local;local;local;Local;3;0
безупречная;local;local;local;Local;3;0
успокоилась;local;local;local;Local;3;0
спокойна;local;local;local;Local;3;0
застыла;local;local;local;Local;3;0
двигалась;local;local;local;Local;3;0
была;local;local;local;Local;3;0
зеленела;local;local;local;Local;3;0
тихая;local;local;local;Local;3;0
волновалась;local;local;local;Local;3;0
текла;local;local;local;Local;3;0
воды;local;local;local;Local;4;0
весел;local;global;local;Local;4;0
весла;local;global;local;Local;4;1
волн;local;local;local;Local;4;0
рыбок;local;local;local;Local;4;0
уток;local;local;local;Local;4;0
девушки;local;local;local;Local;5;0
дамы;local;local;global;Local;5;0
гражданки;local;global;global;Global;5;1
девочки;local;local;local;Local;5;0
парочки;local;local;local;Local;5;0
барышни;local;local;global;Local;5;0
гражданин;local;dep;local;Local;5;0
парочкилавочках;dep;dep;global;Dep;5;0
мальчика;dep;dep;local;Dep;5;0
девченки;local;local;local;Local;5;0
мадам;local;local;local;Local;5;0
компании;local;local;local;Local;5;0
девушке;local;dep;local;Local;5;0
понятной;local;dep;local;Local;5;0
дамочки;local;local;global;Local;5;0
штуки;local;local;local;Local;5;0
смех;dep;dep;local;Dep;5;0
скамейках;local;local;local;Local;6;1
патриарших;local;global;global;Global;6;0
деревьях;local;local;local;Local;6;0
бульваре;local;local;global;Local;6;0
берегу;local;local;global;Local;6;0
лавочках;local;local;global;Local;6;0
траве;local;local;local;Local;6;0
берегах;local;local;global;Local;6;0
проспекте;local;local;local;Local;6;0
окраине;local;local;local;Local;6;0
парковой;local;local;global;Local;6;0
дорожке;local;local;local;Local;6;0
пруду;local;global;global;Global;6;0
пригорке;local;local;local;Local;6;0
тротуаре;local;local;local;Local;6;0
прудах;local;global;global;Global;6;0
скамейке;local;local;global;Local;6;0
горизонте;local;local;local;Local;6;0
чистых;local;global;global;Global;6;0
дорожках;local;local;local;Local;6;0
клумбах;local;local;local;Local;6;0
кустах;local;local;local;Local;6;0
тррпинке;local;local;local;Local;6;0
публика;local;global;global;Global;7;1
тень;local;local;local;Local;7;0
дымка;local;local;local;Local;7;0
листва;local;local;local;Local;7;0
толпа;local;global;local;Local;7;0
она;local;local;local;Local;7;0
картинка;local;local;local;Local;7;0
луна;local;local;local;Local;7;0
парочки;local;dep;global;Dep;7;0
листочки;local;dep;local;Local;7;0
клумба;local;local;local;Local;7;0
наледь;local;local;local;Local;7;0
пара;local;local;local;Local;7;0
компания;local;local;local;Local;7;0
роса;local;local;local;Local;7;0
суета;local;local;local;Local;7;0
девушка;local;local;local;Local;7;0
грусть;local;local;local;Local;7;0
машина;local;local;local;Local;7;0
изморозь;local;local;local;Local;7;0
мгла;local;local;local;Local;7;0
беседка;local;global;local;Local;7;0
газетка;local;global;local;Local;7;0
ягода;local;local;local;Local;7;0
квадрата;local;global;local;Local;8;1
парка;local;global;global;Global;8;0
пруда;local;global;global;Global;8;0
улицы;local;local;local;Local;8;0
света;local;local;local;Local;8;0
озера;local;local;global;Local;8;0
картинки;local;local;local;Local;8;0
лодки;local;global;global;Global;8;0
аллеи;local;local;global;Local;8;0
кроны;local;local;local;Local;8;0
мало;local;dep;local;Local;8;0
грязь;local;dep;local;Local;8;0
бульвара;local;local;global;Local;8;0
никого;local;local;local;Local;8;0
тропы;local;local;local;Local;8;0
тень;local;dep;local;Local;8;0
перекрёстка;local;local;local;Local;8;0
видно;local;local;local;Local;8;0
роса;local;dep;local;Local;8;0
улицы;local;global;local;Local;8;0
скамьи;local;global;global;Global;8;0
однако;local;dep;local;Local;8;0
стола;local;local;local;Local;8;0
луна;local;global;local;Local;9;1
темнота;local;local;local;Local;9;0
лану;local;global;local;Local;9;0
туча;local;local;local;Local;9;0
белизна;local;local;local;Local;9;0
серость;local;local;local;Local;9;0
рябь;local;local;local;Local;9;0
пустота;local;local;local;Local;9;0
желтая;local;global;local;Local;10;0
золотая;local;global;local;Local;10;1
красная;local;local;local;Local;10;0
темная;local;local;local;Local;10;0
голубая;local;global;local;Local;10;0
черная;local;local;local;Local;10;0
темно;local;dep;local;Local;10;0
прозрачная;local;local;local;Local;10;0
кровавая;local;global;local;Local;10;0
заметил;local;global;local;Local;11;1
понял;local;global;local;Local;11;0
увидел;local;local;local;Local;11;0
подумал;local;local;local;Local;11;0
догадался;local;local;local;Local;11;0
додумалась;local;local;local;Local;11;0
узнал;local;local;local;Local;11;0
смог;local;dep;local;Local;11;0
успел;local;dep;local;Local;11;0
предусмотрел;local;local;local;Local;11;0
знал;local;local;local;Local;11;0
рассказ;local;global;global;Global;12;1
венок;local;local;local;Local;12;0
букет;local;local;local;Local;12;0
заговор;local;local;local;Local;12;0
короб;local;local;local;Local;12;0
круг;local;local;local;Local;12;0
разговор;local;local;local;Local;12;0
шарф;local;local;local;Local;12;0
сюжет;local;global;local;Local;12;0
мир;local;local;local;Local;12;0
клубок;local;local;local;Local;12;0
узел;local;local;local;Local;12;0
план;local;local;local;Local;12;0
аров;dep;local;dep;Dep;12;0
свитер;local;local;local;Local;12;0
джемпер;local;local;local;Local;12;0
вечер;global;global;local;Global;13;1
ночь;global;global;local;Global;13;0
конец;local;local;local;Local;13;0
готово;local;local;local;Local;13;0
утро;local;local;local;Local;13;0
делема;local;local;local;Local;13;0
полночь;global;global;local;Local;13;0
началось;local;local;local;Local;13;0
стемнело;global;global;local;Global;13;0
обомлел;local;local;local;Local;13;0
осень;local;local;local;Local;13;0
финал;local;local;local;Local;13;0
я;local;local;local;Local;13;0
красота;local;local;local;Local;13;0
близко;local;global;local;Local;13;0
результат;local;local;local;Local;13;0
проснулся;local;local;global;Local;13;0
он;local;local;local;Local;13;0
рассказывал;local;global;dep;Global;14;1
вовсе;local;local;local;Local;14;0
был;local;local;local;Local;14;0
сделал;local;local;local;Local;14;0
сплёл;local;global;global;Global;14;0
говорил;local;local;dep;Local;14;0
волшебник;local;local;local;Local;14;0
украл;local;local;local;Local;14;0
рассказал;local;global;dep;Global;14;0
другой;local;local;local;Local;14;0
приходил;local;local;local;Local;14;0
совсем;local;local;local;Local;14;0
сумасшедший;local;local;local;Local;14;0
сделал;local;local;local;Local;14;0
рассказывал;local;global;global;Global;15;1
это;local;local;local;Local;15;0
он;local;local;local;Local;15;0
прав;local;local;local;Local;15;0
умный;local;local;local;Local;15;0
этот;local;local;local;Local;15;0
уснул;local;global;global;Global;15;0
говорил;local;global;global;Global;15;0
уважаемый;local;local;local;Local;15;0
существовал;local;local;local;Local;15;0
сделал;local;local;local;Local;15;0
уснул;local;global;global;Global;15;0
пришел;local;local;local;Local;15;0
гениальный;local;local;local;Local;15;0
ученый;local;local;local;Local;15;0
исполнил;local;local;local;Local;15;0
мужчина;local;local;local;Local;15;0
иностранный;local;global;local;Local;15;0
был;local;global;local;Local;15;0
лицо;local;local;local;Local;16;1
глаза;local;local;local;Local;16;0
незнакомого;local;local;local;Local;16;0
красивого;local;local;local;Local;16;0
стоявшего;local;local;local;Local;16;0
профиль;local;local;local;Local;16;0
причудливого;local;local;local;Local;16;0
подошедшего;local;local;local;Local;16;0
этого;local;local;local;Local;16;0
силуэт;local;local;local;Local;16;0
повадки;local;local;local;Local;16;0
морду;local;local;local;Local;16;0
подозрительного;local;local;local;Local;16;0
рассказ;local;local;global;Local;17;1
взгляд;local;local;local;Local;17;0
образ;local;local;local;Local;17;0
доклад;local;local;local;Local;17;0
ответ;local;local;local;Local;17;0
довод;local;local;local;Local;17;0
интерес;local;local;local;Local;17;0
вывод;local;local;local;Local;17;0
подход;local;local;local;Local;17;0
спутник;local;local;local;Local;17;0
рассказа;local;dep;global;Global;17;0
юмор;local;local;local;Local;17;0
собеседник;local;local;local;Local;17;0
сон;local;local;global;Local;17;0
вопрос;local;local;local;Local;17;0
эксперимент;local;local;local;Local;17;0
профиль;local;local;local;Local;17;0
вариант;local;local;local;Local;17;0
опыт;local;local;local;Local;17;0
облик;local;local;local;Local;17;0
замысел;local;local;local;Local;17;0
метод;local;local;local;Local;17;0
голосучениями;dep;dep;local;Dep;17;0
рассказами;local;global;local;Local;18;1
писаниями;local;global;local;Local;18;0
писанием;local;dep;local;Local;18;0
описаниями;local;local;local;Local;18;0
