Пропуск,Слово,Семантическое поле,Количество
1,лицу,часть тела,26
1,волосам,часть тела,5
1,голове,часть тела,4
1,лбу,часть тела,2
1,другой руке,часть тела,1
1,сумке,одежда,1
1,щеке,часть тела,1
1,глазам,часть тела,1
1,столу,часть тела,1
1,рулю,транспортное средство,1
1,книге,Произведение,1
1,ноге,часть тела,1
1,по лицу,часть тела,1
2,вечер,Время,9
2,прудах,Природа,22
2,стемнело,Время,2
2,пустынно,Отсутствие ,1
2,прудахзеленоватая,Природа,1
2,уже вечер.,Время,1
2,уже утро,Время,1
2,дождь,Погода,1
2,пробка,Город,1
2,никого,Отсутствие ,1
2,холодно,Погода,1
2,сумерки,Время,1
2,садах,Природа,1
2,прудах уже ночь,-,1
2,пруд,Природа,1
2,солнечно,Погода,1
3,почернела,цвет,11
3,прозрачная,внешние характеристики жидкости,6
3,чистая,внешние характеристики жидкости,5
3,спокойная,внешние характеристики жидкости,2
3,холодная,характеристики жидкости по температуре,2
3,потемнела,цвет,2
3,блестела,глаголы движения жидкости,2
3,качалась,глаголы движения жидкости,1
3,грязная,внешние характеристики жидкости,1
3,рябила,глаголы движения жидкости,1
3,зеленоватая,цвет,1
3,безупречная,эстетические характеристики,1
3,успокоилась,глаголы движения жидкости,1
3,спокойна,внешние характеристики жидкости,1
3,застыла,глаголы движения жидкости,1
3,двигалась,глаголы движения жидкости,1
3,была,глаголы бытия,1
3,зеленела,цвет,1
3,тихая,внешние характеристики жидкости,1
3,волновалась,глаголы движения жидкости,1
3,текла,глаголы движения жидкости,1
4,весла,Часть лодки,9
4,воды,Жидкость,16
4,весел,Часть лодки,13
4,волн,Жидкость,7
4,рыбок,животные,1
4,уток,животные,1
5,гражданки,Человек,6
5,девушки,Человек,10
5,дамы,Человек,10
5,девочки,Человек,5
5,парочки,Наименование групп лиц,3
5,барышни,Человек,2
5,гражданин,Человек,1
5,парочкилавочках,-,1
5,мальчика,Человек,1
5,девченки,Человек,1
5,мадам,Человек,1
5,компании,Наименование групп лиц,1
5,девушке,Человек,1
5,не понятной,,1
5,дамочки,Человек,1
5,штуки,Вещь,1
5,смех,Выражение эмоций,1
6,скамейках,Предметы в парке,13
6,патриарших,Наименование парка,4
6,деревьях,Природа и водоем,4
6,бульваре,"Пространство, имеющее направление",2
6,берегу,Природа и водоем,2
6,лавочках,Природа и водоем,2
6,траве,Природа и водоем,2
6,берегах,Природа и водоем,1
6,проспекте,"Пространство, имеющее направление",1
6,окраине,Природа и водоем,1
6,парковой,Принадлежность пространству,1
6,дорожке,"Пространство, имеющее направление",1
6,пруду,Природа и водоем,1
6,пригорке,Природа и водоем,1
6,тротуаре,"Пространство, имеющее направление",1
6,прудах,Природа и водоем,1
6,скамейке,Предметы в парке,1
6,горизонте,Природа и водоем,1
6,чистых,внешние характеристики воды,1
6,дорожках,"Пространство, имеющее направление",1
